Name,parameters
BBa_K1732025,color:Red
BBa_K174000,n/a:sspB degradation protein
BBa_K1740000,color:NA;color:Green
BBa_K1740001,color:Green
BBa_K1742002,color:Green
BBa_K1742003,color:Green
BBa_K1742004,n/a:PhiC31 Plant codon optimized
BBa_K175000,n/a:trbC (pilin) of IncP beta R751 plasmid;direction:NA;direction:Forward
BBa_K175001,n/a:trbK (entry exclusion) of IncP beta R751 plasmid
BBa_K1757002,n/a:RTdoc
BBa_K1757001,n/a:RTcoh
BBa_K1757003,n/a:ACcoh
BBa_K1757004,n/a:ACdoc
BBa_K1757006,n/a:BCdoc
BBa_K1757005,n/a:BCcoh
BBa_K1761001,excitation:NA;excitation:480 nm;emission:517 nm;emission:NA
BBa_K1761002,emission:NA;emission:460 nm
BBa_K1761003,excitation:NA;excitation:480 nm;emission:517 nm;emission:NA
BBa_K1761005,emission:460 nm
BBa_K1761006,emission:460 nm
BBa_K177016,n/a:p53_CDS
BBa_K177027,n/a:bax coding sequence
BBa_K177026,n/a:listeriolysin O 399G->C - locus from Listeria monocytogenes
BBa_K177050,n/a:cI ts
BBa_K1777005,signalling_molecule:NA;device_type:NA;chassis:NA;direction:NA;chassis:mammalian;signalling_molecule:SV40 NLS;device_type:linker;direction:forward
BBa_K1777019,chassis:mammalian;device_type:NA;device_type:linker;direction:NA;direction:forward
BBa_K1781000,biology:NA;protein:NA
BBa_K1789003,color:Green
BBa_K1789004,color:Green
BBa_K1796007,protein:NA
BBa_K1796006,protein:NA
BBa_K1796009,protein:NA
BBa_K1796010,protein:NA
BBa_K1796012,protein:NA
BBa_K1796013,protein:NA
BBa_K1796014,protein:NA
BBa_K1799026,color:Red
BBa_K180001,color:NA;color:Green;protein:GFPmut3b;excitation:NA;excitation:501 nm;emission:NA;emission:511 nm;direction:forward;tag:None;tag:LVA;protein:NA
BBa_K180008,color:NA;excitation:587 nm;color:Red;protein:GFPmut3b;emission:610 nm;excitation:501 nm;emission:511 nm;protein:mCherry;n/a:NA;n/a:DsRed derivative;direction:forward;protein:NA
BBa_K180009,color:NA;excitation:587 nm;excitation:540 nm;protein:mBanana;emission:610 nm;emission:553 nm;protein:mCherry;color:Yellow;n/a:DsRed derivative;direction:forward
BBa_K1809000,protein:Antifreeze Protein;protein:NA
BBa_K1809006,protein:Antifreeze Protein
BBa_K1809003,protein:Antifreeze Protein
BBa_K1809009,protein:Antifreeze Protein
BBa_K1809012,protein:Antifreeze Protein
BBa_K1809015,protein:Antifreeze Protein
BBa_K1809018,protein:Antifreeze Protein
BBa_K1809021,protein:Antifreeze Protein
BBa_K1809023,protein:Antifreeze Protein
BBa_K1809025,protein:Antifreeze Protein
BBa_K1809029,protein:Antifreeze Protein
BBa_K1809027,protein:Antifreeze Protein
BBa_K1809031,protein:Antifreeze Protein
BBa_K1809033,protein:Antifreeze Protein
BBa_K1809037,protein:Antifreeze Protein
BBa_K1813005,n/a:<i>CYP2D6</i>
BBa_K1813003,n/a:CYP6CM1
BBa_K1813055,n/a:pelB CYP2D6
BBa_K1819000,excite:501;color:Green;direction:Forward;excitation:NA;lum:NA;protein:GFPmut3b;emission:NA;emit:511;kegg:NA;swisspro:NA
BBa_K1825000,protein:Choristoneura fumiferana;biology:Physcomitrella Patens;biology:physcomitrella patens;protein:Antifreeze protein;biology:NA;biology:Choristoneura fumiferana;protein:NA
BBa_K184000,n/a:Silintaphin-1 + gs linker partA
BBa_K1857000,color:Yellow;color:Red
BBa_K187155,n/a:asdf;n/a:empty
BBa_K1886004,function:NA;function:green light receptor;protein:NA
BBa_K189000,"origin:Adenovirus, human cells, designed peptides;biology:Targeting to certain type of cells;origin:NA;insert:NA;n/a:Targeted BioBrick;biology:NA;insert:TAT peptide-Fiber shaft-RGD domain;insert:TAT peptide-Fiber Shaft-RGD domain"
BBa_K189001,n/a:Nu1 and A of lambda genome
BBa_K189013,n/a:G of lambda genome
BBa_K189044,n/a:nonstructural protein coding region of AAV
BBa_K1895007,uniprot:P0AGB3 (most common strain);ligands:DNA Promoter Region;family:Sigma 70 sigma factors
BBa_K1897000,uniprot:Q54450;direction:NA;direction:Forward;protein:Heme-binding protein;uniprot:NA;protein:NA
BBa_K1897002,signalling_molecule:NA;direction:NA;uniprot:Q79AD2;ligands:NA;direction:Forward;signalling_molecule:Membrane receptor;uniprot:NA;ligands:HasA hemophore (BBa_K1897001)
BBa_K1897003,signalling_molecule:NA;function:Anti-sigma factor ;direction:NA;direction:Forward;function:NA;uniprot:NA;uniprot:Q4K5N6 
BBa_K1897005,"direction:NA;direction:Forward;function:NA;uniprot:Q79AD4 ;uniprot:NA;function:Sigma factor, transcriptional control"
BBa_K190001,n/a:gvpA
BBa_K190018,n/a:HmtA
BBa_K1903002,protein:NA
BBa_K1903001,protein:NA
BBa_K190032,n/a:fMT with lacI regulated promotor
BBa_K1908001,signalling_molecule:NA;protein:NA
BBa_K1909002,chassis:E. coli JW 3367-3;chassis:NA
BBa_K1909004,chassis:E. coli JW 3367-3
BBa_K1909005,chassis:E. coli JW 3367-3
BBa_K191008,positive_regulators:NA;input_s:IPTG;protein_out:LovTAP
BBa_K1909003,chassis:E. coli JW 3367-3
BBa_K1919000,chassis:NA;chassis:E.coli;protein:CecropinXJ;biology:Bombyx mori ;biology:NA;protein:NA
BBa_K1921001,biology:NA;protein:MHETase;protein:PETase;biology:Ideonella sakaiensis 201-F6;protein:NA
BBa_K1933000,biology:NA;biology:Bacillus anthracis(34F2);biology:'' Bacillus anthracis ''(34F2);chassis:E. coli;chassis:NA
BBa_K1933002,biology:NA;chassis:NA;biology:Homo sapiens;chassis:E. coli
BBa_K1933001,biology:NA;chassis:NA;biology:Pseudomonas syringae;chassis:E. coli
BBa_K1946000,positive_regulators:NA;biology:NA;biology:Acinetobacter sp.;positive_regulators:cyclohexanone
BBa_K1946005,"biology:NA;positive_regulators:m-, p-, o-xylene ;biology:Acinetobacter sp.;biology:Pseudomonas putida;positive_regulators:cyclohexanone"
BBa_K195205,n/a:Human CXADR gene
BBa_K1958000,biology:NA;protein:Hydrogenase;biology:E.coli;protein:NA
BBa_K1958001,biology:NA;protein:Hydrogenase;biology:E.coli;protein:NA
BBa_K1958002,biology:NA;protein:Hydrogenase;biology:E.coli;protein:NA
BBa_K1958003,biology:NA;protein:Hydrogenase;biology:E.coli;protein:NA
BBa_K1958004,biology:NA;protein:Hydrogenase;biology:E.coli;protein:NA
BBa_K1958006,biology:NA;protein:Hydrogenase;biology:E.coli;protein:NA
BBa_K1958007,biology:NA;biology: C. metallidurans;protein:PbrR;protein:NA
BBa_K1982001,direction:NA;direction:Forward
BBa_K1982002,chassis:NA;direction:NA;direction:Forward;function:NA;function:blue light stimulated photorecepto;chassis:Arabidopsis thaliana
BBa_K1982007,direction:Forward
BBa_K1982008,direction:Forward
BBa_K1982009,function:blue light stimulated photorecepto;chassis:Arabidopsis thaliana;direction:Forward
BBa_K1982010,function:blue light stimulated photorecepto;chassis:Arabidopsis thaliana;direction:Forward
BBa_K1982003,chassis:NA;direction:NA;direction:Forward;chassis:Arabidopsis thaliana	;function:NA;function:Encodes the N-terminal fragment of transcription factor CIB1
BBa_K1982011,direction:Forward
BBa_K199125,n/a:LuxI autoinducer synthetase optimized for E. coli
BBa_K199142,n/a:LuxI with CCACU frameshift
BBa_K199143,n/a:LuxI with CGGUC frameshift
BBa_K199127,n/a:TT-pLux-RBS-LuxI optimized
BBa_K199144,n/a:Lux positive feedback loop (CCACU 1-SAT)
BBa_K200001,n/a:Dam methylase -> Dam
BBa_K2003010,tag:NA;color:NA;direction:NA;ligands:NA;excitation:NA;excite:NA;emission:NA;emit:NA;protein:NA
BBa_K2010000,protein:NA
BBa_K2010001,protein:NA
BBa_K2010004,protein:NA
BBa_K2010002,protein:NA
BBa_K2010003,protein:NA
BBa_K2010005,protein:NA
BBa_K2010008,protein:NA
BBa_K2010007,protein:NA
BBa_K2020001,chassis:Escherichia coli;protein:subtilisin E;biology:Bacillus subtilis
BBa_K2023005,protein:XylR;protein:NA
BBa_K2023009,protein:Gaussia Luciferase;protein:GFP;protein:NA
BBa_K2023010,tag:NA;protein:XylR;tag:His;protein:NA
BBa_K2040122,control:BBa_E1010 as a negative control;target:Nucleus;color:Red;excitation:545-585 nm;function:Phototoxicity;target:NA;output:Superoxide radical anion;emission:611 nm;origin:Engineered from anm2CP
BBa_K2052018,biology:NA
BBa_K2061005,proteins:NA
BBa_K2057002,biology:NA;biology:Bacillus thuringiensis
BBa_K2088000,biology:NA;biology:Sphingobium sp. YBL2 
BBa_K2088011,protein:NA
BBa_K2088666,protein:NA
BBa_K209091,n/a:ACA-linker-SHIP1
BBa_K209093,n/a:ACA-linker-RasG da
BBa_K2091000,biology:Pseudomonas putida;strain:NA;protein:pcaG;biology:NA;strain:KT2440;protein:NA
BBa_K209400,"n/a:AarI B-C part, hM4D"
BBa_K209401,"n/a:AarI B-C part, Rs1.3"
BBa_K209402,"n/a:AarI A-B part, signal sequence-FLAG-YFP  [SSFYFP]"
BBa_K209403,"n/a:AarI A-B part, signal sequence-FLAG"
BBa_K209404,"n/a:AarI C-D part, ActA (30-612)"
BBa_K209405,"n/a:AarI C-D part, VASP"
BBa_K209406,"n/a:AarI C-D part, Beta Pix"
BBa_K209407,"n/a:AarI C-D part, SOS1"
BBa_K209408,"n/a:AarI C-D part, Intersectin (ITSN)"
BBa_K209409,"n/a:AarI C-D part, Tuba"
BBa_K209411,"n/a:AarI C-D part, Lamellipodin (LPD) (775-1250);n/a:AarI C-D part, Lamellipodin (775-1250)"
BBa_K209412,"n/a:AarI C-D part, Lamellipodin"
BBa_K209413,"n/a:AarI C-D part, Vav"
BBa_K209410,"n/a:AarI C-D part, ActA (255-392)"
BBa_K209415,"n/a:AarI B-C part, hM2D"
BBa_K209458,"n/a:AarI B-C part, EDG2"
BBa_K209459,"n/a:AarI B-C part, OPRL1"
BBa_K209460,"n/a:AarI B-C part, ADRA1A"
BBa_K209461,"n/a:AarI B-C part, HTR1A"
BBa_K209463,"n/a:AarI B-C part, HTR2B"
BBa_K209464,"n/a:AarI B-C part, AVPR1B"
BBa_K209466,"n/a:AarI B-C part, G2A"
BBa_K209467,"n/a:AarI B-C part, EDG1"
BBa_K209462,"n/a:AarI B-C part, AGTR2"
BBa_K209465,"n/a:AarI B-C part, CCR7"
BBa_K209484,"n/a:AarI B-D part, DOR-ERMbd"
BBa_K209485,"n/a:AarI B-D part, DOR-Villin headpiece"
BBa_K209487,"n/a:AarI B-D part, DOR-EzrinABDT"
BBa_K209486,"n/a:AarI B-D part, DOR-Actinin1ABD"
BBa_K209488,"n/a:AarI B-D part, DOR-mu17"
BBa_K209489,"n/a:AarI B-D part, DOR-VHP35(W64A)"
BBa_K209491,"n/a:AarI B-C part, MNTR1A"
BBa_K209490,"n/a:AarI B-D part, DOR-KIFC"
BBa_K209492,"n/a:AarI C-D part, ERMbd"
BBa_K209494,"n/a:AarI C-D part, VHP35"
BBa_K209493,"n/a:AarI C-D part, KIFC"
BBa_K209495,"n/a:AarI B-C part, GRM2"
BBa_K2110004,chassis:NA;chassis:E-coli
BBa_K2110009,chassis:NA;chassis:Cyanophyta
BBa_K211001,function:diacetyl sensing GPCR;tag:NA;family:NA;ligands:octanal;origin:NA;tag:FLAG;family:GPCR;function:odorant sensing GPCR;origin:Rat RI7;ligands:diacetyl
BBa_K2110010,chassis:NA;chassis:Cyanophyta genome
BBa_K2110011,chassis:NA;chassis:Cyanophyta
BBa_K2110013,chassis:NA;chassis:bacillus subtilis
BBa_K2110014,chassis:NA;chassis:bacillus subtilis
BBa_K211002,chassis:yeast;tag:NA;chassis:NA;function:diacetyl sensing GPCR;family:NA;ligands:NA;origin:NA;function:NA;tag:FLAG;family:GPCR;origin:C.elegans ODR-10 and Rat RI7;ligands:diacetyl
BBa_K2110100,chassis:NA;chassis:Saccharomyces cerevisiae
BBa_K2110102,chassis:NA;chassis:Saccharomyces cerevisiae
BBa_K2110103,chassis:NA;chassis:Saccharomyces cerevisiae
BBa_K2110104,chassis:NA;chassis:Saccharomyces cerevisiae
BBa_K2110101,chassis:NA;chassis:Saccharomyces cerevisiae
BBa_K2110105,chassis:NA;chassis:Saccharomyces cerevisiae
BBa_K2110106,chassis:NA;chassis:Saccharomyces cerevisiae
BBa_K2110107,chassis:NA;chassis:Saccharomyces cerevisiae
BBa_K2110108,chassis:NA;chassis:Saccharomyces cerevisiae
BBa_K2110800,chassis:NA;chassis:Saccharomyces cerevisiae
BBa_K2110109,chassis:NA
BBa_K2110200,chassis:NA;chassis:Saccharomyces cerevisiae
BBa_K2127001,"positive_regulators:NA;tag:Nickel Affinity Histine;protein:47 kDa subunit;function:Light Harvesting, Oxygen Reaction Complex Stabilization;insert:Expressable;positive_regulators:Pcpc560 Transcription Factor Binding Site;family:Photosystem II Reaction Complex;chassis:Synechocystis spp. PCC 6803;ligands:Histine, Fe(II), Chlorine, Mangenase, Calcium (II), Chlorophyll, Beta-Carotene"
BBa_K2127003,positive_regulators:NA;chassis:NA;positive_regulators:Lac Promoter;chassis:Synechocystis spp. PCC 6803
BBa_K2127002,"tag:NA;tag:Nickel Affinity Histine;protein:47 kDa subunit;insert:NA;function:Light Harvesting, Oxygen Reaction Complex Stabilization;insert:Expressable;family:Photosystem II Reaction Complex;ligands:Histine, Fe(II), Chlorine, Mangenase, Calcium (II), Chlorophyll, Beta-Carotene;chassis:Synechocystis spp. PCC 6803"
BBa_K2127004,"chassis:NA;family:NA;ligands:NA;protein:47 kDa subunit;ligands:Nickel (I), Chlorine, Mangenase, Calcium (II), Chlorophyll, Beta-Carotene;function:NA;function:Light Harvesting, Oxygen Reaction Complex Stabilization;ligands:Histine, Fe(II), Chlorine, Mangenase, Calcium (II), Chlorophyll, Beta-Carotene;function:LIght Harvesting;family:Photosystem II Reaction Complex;chassis:Synechocystis spp. PCC 6803;function:Light Harvesting;protein:NA"
BBa_K2135000,biology:NA;biology:E. coli MG1655
BBa_K214000,n/a:Human Serum Amyloid A2
BBa_K2144001,function:Degradation;function:NA;protein:Lysostaphin;protein:NA
BBa_K2144000,protein:Nuclease;function:NA;function:Degradation;protein:NA
BBa_K215090,n/a:OpdA (phosphotriesterase)
BBa_K2168000,tag:NA;chassis:NA;rbs:NA;family:NA;positive_regulators:NA;function:NA;proteins:NA;biology:E coli;kegg:NA;negative_regulators:NA;uniprot:NA;biology:NA
BBa_K2168001,tag:NA;chassis:NA;family:NA;rbs:NA;positive_regulators:NA;function:NA;proteins:NA;biology:E coli;kegg:NA;negative_regulators:NA;uniprot:NA
BBa_K221000,n/a:germacradienol/germacrene D synthase
BBa_K222004,n/a:Cch1 gene disrupted from 532 to 6708 nt;n/a:Cch1 gene disrupted fro532 to 6708 nt
BBa_K227006,"excitation:NA;direction:NA;direction:forward;excitation:800, 850nm"
BBa_K228863,n/a:PhiR73 delta with amber mutation
BBa_K238010,n/a:RpoA
BBa_K242001,n/a:Phage P2 Cox transcriptional activator;n/a:NA
BBa_K242000,n/a:Late P2 transcription activator Ogr
BBa_K228000,n/a:T7ptag(T7polymerase with amber mutation)
BBa_K242201,n/a:Colicin E9 DNase domain
BBa_K242999,n/a:Colicin E3 rRNAse domain
BBa_K255000,n/a:laci-cfp fusion
BBa_K256023,function:Hydrolyze cholesteryl esters into free cholesterol and fatty acid;family:NA;origin:Pseudomonas Aeruginosa;origin:NA;function:NA;family:Hydrolase
BBa_K258002,function:NA;protein:NA
BBa_K258004,signalling_molecule:NA;positive_regulators:NA;protein:NA
BBa_K258010,protein:NA
BBa_K259000,uniprot:P06971;chassis:NA;chassis:E.coli;family:NA;function:NA;biology:Binds Ferrichrome Iron from the extracellular environment.;uniprot:NA;biology:NA;function:Outer Membrane Receptor;family:Ton-B dependent Receptors;protein:NA
BBa_K259001,uniprot:P06971;chassis:E.coli;biology:Binds Ferrichrome Iron from the extracellular environment.;family:Ton-B dependent Receptors;function:Outer Membrane Receptor;uniprot:P75780;protein:NA
BBa_K273000,n/a:Pyruvate decarboxylase (pdc) from <i>Z. Mobilis</i> ATCC 29191
BBa_K273002,n/a:Pirin like protein (pirA) from <i>Synechocystis sp PCC6803</i>;n/a:Pirin like protein pirA from <i>Synechocystis sp PCC6803</i>
BBa_K273001,"n/a:Alcohol dehydrogenase (adh2 , adhII, adhB) from <i>Z. Mobilis</i> ATCC 29191"
BBa_K273003,n/a:Pirin like protein (pirB) from <i>Synechocystis sp PCC6803</i>;n/a:Pirin like protein pirB from <i>Synechocystis sp PCC6803</i>
BBa_K273005,"n/a:Alcohol Dehydrogenase 2 (adh2 , adhII, adhB) from <i>S. cerevisiae</i>"
BBa_K283007,n/a:sp-eGFP-streptavidin-AIDAc
BBa_K283010,n/a:Streptavidin
BBa_K283008,tag:NA;tag:6-histidine;protein:chez;protein:NA
BBa_K284000,n/a:JEN1 Promoter;n/a:Lactate Permease from Kluyveromyces lactis;n/a:Lactate Permease
BBa_K284001,n/a:Lysozyme from Gallus gallus;n/a:Lysozyme G from Gallus gallus
BBa_K284031,n/a:Cre Recombinase without start codon
BBa_K251000,n/a:coding sequene for E.coli heat shock protein hsp15 (example/ european meeting)
BBa_K284999,n/a:Deletar este também
BBa_K284030,n/a:Cre Recombinase without start codon;n/a:delete
BBa_K289002,n/a:GSH
BBa_K289001,n/a:pp1(I type Protein phosphotransferase)
BBa_K289004,n/a:ADH(Alcohol dehydrogenase)
BBa_K289003,n/a:GSH
BBa_K292008,biology:NA;direction:NA
BBa_K315014,n/a:TetA (Optimized from bp 1 to 141)
BBa_K315015,n/a:TetA gene (DeOptimized from bp 1 to 141)
BBa_K315020,n/a:TetA (Optimized from bp 144 to 290)
BBa_K315021,n/a:TetA (DeOptimized from bp 144 to 290)
BBa_K315031,n/a:pLac-RBS-RFP-RBS-TetA(Optimized from bp 1-290)
BBa_K315040,n/a:TetA Fully Optimized (bp 1-290)
BBa_K315041,n/a:TetA Fully Deoptimized (bp 1-290)
BBa_K315046,n/a:pBad-RBS-Cre
BBa_K317000,n/a:SRII (NpSRII)
BBa_K317001,n/a:HtrII (NpHtrII)
BBa_K317002,n/a:Tar (StTar)
BBa_K317003,n/a:NpSRII-9a.a.linker_NpHtrII-StTar
BBa_K317008,n/a:Antigen 43
BBa_K330001,tag:NA;origin:NA;tag:Flag
BBa_K332011,biology:NA;function:NA
BBa_K343001,kegg:NA;kegg:[link:http://www.genome.jp/dbget-bin/www_bget?dme:Dmel_CG9347 Dmel_CG9347];kegg:http://www.genome.jp/dbget-bin/www_bget?dme:Dmel_CG9347;kegg:Dmel_CG9347;kegg:[http://www.genome.jp/dbget-bin/www_bget?dme:Dmel_CG9347 Dmel_CG9347]
BBa_K345666,n/a:Taq DNA Polymerase
BBa_K349001,n/a:RFP-AB-BsaI (for construction of AB BioBytes 2.0);n/a:RFP BsaI AB (for Construction of AB Type Bytes-v2)
BBa_K349003,n/a:RFP-BA-BbsI  (for construction of BA BioBytes 2.0)
BBa_K349002,n/a:RFP-BA-BsaI (for construction of BA BioBytes 2.0));n/a:RFP-BA-BsaI (for construction of BA BioBytes 2.0);n/a:RFP BsaI BA (for Construction of AB Type Bytes-v2)
BBa_K346007,family:NA;origin:NA;family:autotransporter family;function:NA;origin:K12 strain of E.coli;copies:NA;copies:more than 50000 per cell;function:can cause auto-aggregation and distinct colony morphology;n/a:Antigen 43;n/a:antigen 43
BBa_K349005,n/a:RFP-AB-BfuAI  (for construction of AB BioBytes 2.0)
BBa_K349007,n/a:KanR-AB-BsaI (for construction of AB BioBytes 2.0);n/a:Kan-AB-BsaI (for construction of BA BioBytes 2.0);n/a:Kan-AB-BsaI (for construction of AB BioBytes 2.0)
BBa_K349006,n/a:RFP-BA-BfuAI   (for construction of BA BioBytes 2.0)
BBa_K349011,n/a:Kan-AB-BfuAI (for construction of BA BioBytes 2.0);n/a:Kan-RAB-BfuAI (for construction of AB BioBytes 2.0);n/a:KanR-AB-BfuAI (for construction of AB BioBytes 2.0);n/a:Kan-AB-BfuAI (for construction of AB BioBytes 2.0)
BBa_K349012,n/a:Kan-BA-BfuAI  (for construction of BA BioBytes 2.0));n/a:KanR-BA-BfuAI  (for construction of BA BioBytes 2.0);n/a:Kan-BA-BfuAI  (for construction of BA BioBytes 2.0)
BBa_K349101,n/a:crtE-AB (BioBytes 2.0) 
BBa_K349102,n/a:crtB-AB (BioBytes 2.0) 
BBa_K349103,n/a:crtY-AB (BioBytes 2.0) 
BBa_K349104,n/a:crtI-AB (BioBytes 2.0) ;n/a:crtI-ORF (BioBytes 2.0) 
BBa_K349105,n/a:araC-AB (BioBytes 2.0) ;n/a:araC-ORF (BioBytes 2.0) 
BBa_K349106,n/a:tetR-AB (BioBytes 2.0) ;n/a:tet_rep-AB (BioBytes 2.0) 
BBa_K349107,n/a:lacI-AB (BioBytes 2.0) 
BBa_K349108,n/a:lambdaCI-AB (BioBytes 2.0) 
BBa_K349109,n/a:vioA-AB (BioBytes 2.0) 
BBa_K349110,n/a:vioB-AB (BioBytes 2.0) ;n/a:vioB-AB
BBa_K349113,n/a:cfp-AB (BioBytes 2.0) ;n/a:cfpAB;n/a:cfp-AB;n/a:CFP-AB (BioBytes 2.0) 
BBa_K349111,n/a:vioD-AB;n/a:vioD_AB;n/a:vioD-AB (BioBytes 2.0) 
BBa_K349112,n/a:vioE_AB;n/a:vioE-AB (BioBytes 2.0) ;n/a:vioE-AB
BBa_K349114,n/a:rfpAB;n/a:RFP-AB (BioBytes 2.0) ;n/a:rfp-AB;n/a:rfp-AB (BioBytes 2.0) 
BBa_K349116,n/a:ampR-AB(BioBytes 2.0);n/a:ampR-AB (BioBytes 2.0)
BBa_K349117,n/a:tetR-AB (BioBytes 2.0)
BBa_K349118,n/a:chlor-AB (BioBytes 2.0)
BBa_K349119,n/a:mWasabi-AB (BioBytes 2.0)
BBa_K349302,n/a:ampR_BA;n/a:ampR-BA (BioBytes 2.0) ;n/a:ampR-BA
BBa_K349303,n/a:tetR-BA (BioBytes 2.0) ;n/a:tetR_BA;n/a:tetR-BA
BBa_K352008,n/a:H77T mutated CooA from Rhodospirillum rubrum
BBa_K352001,control:NA;function:Carbon monoxide binding protein;family:NA;function:Carbon monoxide binding transcription activator;control:specific soret peak @ OD420;function:NA;n/a:CooA from Rhodospirillum rubrum;uniprot:P72322;kegg:NA;protein:transcription activator;family:member of cAMP receptor protein (CRP) and fumavate nitrate reduction (FNR)  ;uniprot:NA;kegg:avn:Avin_47010;protein:NA
BBa_K352009,n/a:P2H mutated CooA from Rhodospirillum rubrum
BBa_K356000,protein:autoinducer;protein:NA
BBa_K357000,n/a:catechol 1 2-dioxygenase 
BBa_K357001,n/a:muconate and chloromuconate cycloisomerase
BBa_K361000,function:Site-specific recombination;biology:active enzyme;function:NA;biology:active wide type enzyme;biology:NA;protein:NA
BBa_K364201,n/a:Human RXR DBD
BBa_K364303,n/a:DAF-12 LBD
BBa_K364306,n/a:Human CAR LBD
BBa_K364308,n/a:Human PXR LBD
BBa_K364310,n/a:EcR LBD
BBa_K364309,n/a:Human ER LBD
BBa_K364314,n/a:NHR-8 LBD
BBa_K364315,n/a:NHR-23 LBD
BBa_K364317,n/a:NHR-31 LBD
BBa_K364319,n/a:Gal4 DBD
BBa_K367000,n/a:prhA coding sequence
BBa_K371008,origin:Citrobacter Freundii;n/a:MPF(meta-prefix)+pduA+MSF(meta-suffix);n/a:pduA;n/a:MPF(mete-prefix)+pduA+MSF(meta-suffix)
BBa_K371009,origin:Citrobacter Freundii;n/a:MPF(meta-prefix)+pduB+MSF(meta-suffix)
BBa_K371010,origin:Citrobacter Freundii;n/a:MPF(meta-prefix)+pduJ+MSF(meta-suffix)
BBa_K371011,n/a:MPF(meta-prefix)+pduK+MSF(meta-suffix);n/a:pduJK(Propanediol utilization gene J+K)[RBS+pduJ+RBS+pduK];n/a:pduK;origin:Citrobacter Freundii
BBa_K371012,n/a:MPF(meta-prefix)+pduN+MSF(meta-suffix);origin:Citrobacter Freundii
BBa_K371013,n/a:MPF(meta-prefix)+pduT+MSF(meta-suffix);origin:Citrobacter Freundii
BBa_K371015,n/a:MPF(meta-prefix)+pduU+MSF(meta-suffix);origin:Citrobacter Freundii
BBa_K371016,origin:Citrobacter Freundii;n/a:MPF(meta-prefix)+pduV+MSF(meta-suffix)
BBa_K371027,n/a:GFP +MPF[intermediate];n/a:GFP +MSF[intermediate]
BBa_K371026,n/a:RFP+MSF(meta-suffix)[intermediate];n/a:MPF(meta-preffix)RFP[intermediate]
BBa_K371031,n/a:MPF(meta-prefix)+[pduV98+10*GS+GFP] fusion protein+MSF(meta-suffix);n/a:MPF(meta-prefix)+pduV98+10*GS+RFP fusion protein+MSF(meta-suffix);n/a:MPF(meta-prefix)+pduV98+RBS+RFP fusion protein+MSF(meta-suffix);n/a:MPF(meta-prefix)+[pduV98+10*GS+RFP] fusion protein+MSF(meta-suffix)
BBa_K371030,n/a:MPF(meta-prefix)+pduP64+10*GS+GFP fusion protein+MSF(meta-suffix);n/a:MPF(meta-prefix)+pduP64+RBS+GFP fusion protein+MSF(meta-suffix);n/a:MPF(meta-prefix)+[pduP64+10*GS+GFP] fusion protein+MSF(meta-suffix)
BBa_K371032,n/a:MPF(meta-prefix)+pduA+RBS+pduB+MSF(meta-suffix);n/a:pduA+RBS+pduB
BBa_K371040,n/a:pduB
BBa_K371043,n/a:MPF(meta-prefix)+RFP+MSF(meta-suffix);n/a:MPF+RFP+MSF
BBa_K371044,n/a:MPF(meta-prefix) +GFP+MSF(meta-suffix)
BBa_K387008,n/a:Oct4
BBa_K392030,n/a:yeast secretion tag + C. fermi endoglucanase
BBa_K394000,chassis:NA;resistance:NA
BBa_K392034,n/a:yeast Aga2 + C. fermi exoglucanase
BBa_K394003,chassis:NA;control:NA;negative_regulators:NA
BBa_K398000,family:Flavoprotein alkane monooxygenase;family:NA;family:alkane monooxygenases
BBa_K398006,protein:NA
BBa_K417000,kegg:eco:b2942;ec_num:NA;kegg:NA;uniprot:P0A817;uniprot:NA;ec_num:2.5.1.6
BBa_K511200,n/a:CI434-VP16 Transactivator MammoBlock
BBa_K511201,n/a:Mnt-VP16 Transactivator MammoBlock
BBa_K511202,n/a:rtTA-DD Transactivator MammoBlock
BBa_K511203,n/a:rtTA3 Tetracycline-Inducible Transactivator MammoBlock
BBa_K511204,n/a:LacI Repressor MammoBlock
BBa_K511205,n/a:LacI-KRAB Repressor MammoBlock
BBa_K511206,n/a:LacI-miRFF4 Repressor MammoBlock
BBa_K511207,n/a:Gal4-VP16 Transactivator MammoBlock
BBa_K511600,n/a:N-Cadherin-2A-EYFP Cell Adhesion MammoBlock
BBa_K511601,n/a:N-Cadherin-eGFP Cell Adhesion MammoBlock
BBa_K511700,n/a:TEV Protease MammoBlock
BBa_K511701,n/a:B-Arrestin-2-TEV-Protease MammoBlock
BBa_K524100,tag:NA;direction:NA;tag:none;direction:Forward;uniprot:P28246;uniprot:NA
BBa_K525007,"chassis:NA;control:NA;control:PT7;origin:Geobacillus stearothermophilus, Sphingomonas bisphenolicum AO1;origin:NA;biology:NA;biology:S-Layer;chassis:E. coli"
BBa_K525008,"origin:Geobacillus stearothermophilus, Sphingomonas bisphenolicum AO1;chassis:E. coli;origin:Lysinibacillus sphaericus, Sphingomonas bisphenolicum AO1;control:PT7;biology:S-Layer"
BBa_K525009,"tag:NA;chassis:NA;control:PT7;tag:His-tag;origin:Geobacillus stearothermophilus, Escherichia coli;origin:NA;biology:NA;origin:Lysinibacillus sphaericus, Escherichia coli;biology:S-Layer;chassis:E. coli"
BBa_K525010,"control:NA;control:PT7;tag:His-tag;origin:Geobacillus stearothermophilus, Escherichia coli;origin:Lysinibacillus sphaericus, Escherichia coli;biology:S-Layer;chassis:E. coli"
