Year,Team,SimpleDescription
2013,Georgia_State,"Using a cassette of standardized systems (the pGAPzα expression vectors) in P. pastoris, they sought to produce high quantities of pure, functional proteins in a safe and cost effective manner. 
",
2013,DTU-Denmark,"Using two E. coli mutants built with genes from Nitrosomonas europaea and Pseudomonas aeruginosa, the project provides a system to reverse nitrogen fixation.  Their mutants consume ammonia and produce nitrous oxide, and release a sustainable stheirce of energy when decomposed into nitrogen and oxygen. 
",
2013,UIUC_Entrepreneurs,"Vivosynth technologies seeks to further the application of manufacturing assembly line principles to the field of synthetic biology. Their flagship product, ModuLab, is an automated system designed to optimize every stage of the cloning process in order to minimize error, maximize efficiency and provide synthetic biologists with feedback on every stage of the manufacturing process.
",
2013,Penn,"With a synthetic biology approach, they developed an assay to test targeted methyltransferases without expensive, time-consuming traditional methods.Their modular single-plasmid system allows methyltransferases to be easily cloned and tested via inexpensive digestion assays, quickly measuring the existence and extent of targeted methylation. Additionally, Their plasmid contains standardized primer-binding sites for methylation-sensitive ",
2013,Virginia,"With the development of a multi-purpose, innocuous bacterial chassis as the team's ultimate goal, they incorporated three additional safety elements: the Ail protein, a polysialic acid capsule and de-acylated lipopolysaccharide. Both Ail and the PSA capsule serve to prevent complement deposition on the surface of the minicells, with PSA also protecting against antibody opsonization. ",
2013,Uppsala,"With this project, they will make the lactobacillus genus the new probiotic platform for metabolic engineering of nutritional compounds. they will engineer probiotics to produce for example beta-carotene, resveratrol, p-coumaric acid, miraculin and saffron.",
2014,CAU_China," According to their design, two kinds of E.coli with partly different genetic pathway align alternatively. ",
2014,Kent," By using E. coli to generate these compounds, they aim to reduce the cost of these scents and improve yield in a more environmentally sustainable and less destructive manner. ",
2014,MIT, Diagnosis is based on the detection of two Alzheimer-specific biomarkers in the brain: extracellular beta-amyloid protein oligomers and the intracellular miRNA profile of afflicted neurons。,
2014,StanfordBrownSpelman," First, a foundational architecture built by cells allows for construction in almost any location and responsible disposal through biodegradation. Second, they are leveraging synthetic biology to move costly analytic functions, which require bulky electrical components, into a cell layer with biosensing capabilities. ",
2014,HZAU-China," In their project, they created some modules to reintroduce the conception of ""adaptability"", which is one intrinsic characteristic of natural living systems. ",
2014,UMaryland," P. marinus infection requires recognition of a ftheir-domain galectin protein, CvGal1, produced by oyster hemocytes to capture bacteria by binding surface sugars.",
2014,LMU-Munich," The major aim of this project is the introduction of a genetic circuit enabling Bacillus subtilis to actively detect, attach to, and eventually kill Staphylococcus aureus and Streptococcus pneumoniae.",
2014,UCL, The UCL 2014 team proposes harnessing various azo-dye degrading enzymes to create BioBricks for a novel Azo-Remediation Chassis (ARC). ,
2014,London_BioHackspace," their 2014 iGEM project is JuicyPrint, a 3D printer that is fed with fruit juice to print on demand 3D structures of bacterial cellulose. JuicyPrint has diverse uses across fields ranging from tissue engineering to textile design and experimental arts",
2014,Saarland, their aim is to employ a simple soil bacterium as an expression system for the first ever biotechnological production of this HMM-HA.,
2014,KIT-Kyoto," their artwork will wow you and wake up ytheir desire to express ytheirself in the form of art. You may think E.coli is stinky or poopy. No! With the potheyr of synthetic biology, it can be aromatic! ",
2014,UI-Indonesia, their Escherichia coli can degrade biofilm from various bacteria after it seeks them by detecting their quorum sensing molecule. their team will focus in Vibrio cholerae because it is a cause of cholera as a deadly tropical countries disease.,
2014,UFMG_Brazil," their objective is to introduce this strain as a new probiotic chassis on iGEM, and also to develop a gene circuit that allows it to detect one or more stool biomarkers for colorectal cancer on the intestine. they chose L-DNA (long DNA molecules) as biomarker, and designed a chimeric protein using TALE DNA-Binding Domains and a split version of mCherry that can detect certain repetitive sequences on DNA and emit fluorescence, which when measured serve as proxy for the DNA size.",
2014,UMayor-Chile, their project aims to generate a bacteria capable of theyakening the biofilm breaking one of the main components of this protection: the arginate; and shutting down the communication bettheyen the Pseudomonas colonies. ,
2014,Nanjing-China," their project has to design a modular system which makes it possible to quantitatively detect and degrade whatever kind of toxin, with its specific promoter and the coding sequence of its degrading enzyme. ",
2014,Nankai, their project is to build a bacterial strain that is able to utilize oil as its carbon restheirce as theyll as producing rhamnolipid in anaerobic environment. ,
2014,Heidelberg, their team has designed a universal toolbox for modifying proteins post-translationally utilising inteins and sortases.,
2014,NRP-UEA-Norwich," they aim to produce proof of concept, sentinel plants that will diagnose the presence of two pathogens, Xanthomonas oryzae and Xanthomonas campestris.",
2014,AMU-Poznan, they expanded functionality of the software with off-target validation and immune motifs presence verification and also extended the miRNA-shuttles database. With sh-miR designer they automated the tedious and time-consuming process of sh-miR design.,
2014,Virtus-Parva_Mexico, they present a novel device that could make these processes possible: the BioNEMS Drill.,
2014,NJU-QIBEBT, they strive to transform E.coli into a biological factory that produces more FFAs of different length of carbon chain and saturation levels in both an efficient and a controlled manner.,
2014,Tuebingen," they will utilize blood antigen-specific glycosidases in combination with different immobilisation tags. Ultimately they aim to create a matrix coated with their enzymes, able to convert blood for transfusion.",
2014,Austin_Texas, This allows us to accurately assess the rate and fidelity of ncAA incorporation.,
2014,Toulouse," This engineered bacterium derives from the natural Bacillus subtilis species present in the plane tree sap. SubtiTree鈥檚 mission is to detect, bind and destroy the pathogenic fungus. First, a chemotaxis module directed towards the N-Acetylglucosamine released by the fungi confers the ability to head for the pathogen. Secondly, the bacterium binds to the fungal cell wall via a chitin binding domain.",
2014,UCC_Ireland,"""SeeDNA""- aims to create a system for bacterial-based DNA detection.  they hope to design customizable plasmids and exploit DNA hybridization to detect any specific short DNA sequence as an alternative to PCR.",
2014,UChicago,". The 2014 UChicago iGEM team implemented and optimized FREP in E. coli, using the tyrosine pathway as a proof of concept. ",
2014,NYMU-Taipei,"2014 NYMU-Taipei has decided to provide a HOPE, Human Oral Protection for Everyone. HOPE, is an auto-adjustable bio-drug system with a concept of 4Cs, which are Control, Communication, Cure and Caution, taking cares the stages of prevention, cure, and notice, giving users a care-free oral cavity.",
2014,BNU-China,"A plasmid was transfer into E.coli Promethus to make it express fusion protein, one side of which anchors on the out membrane and the other side of which,ModA,catches molybdate.",
2014,Rutgers,"A template-independent polymerase called Terminal Transferase was tested as a catalyst for the Coupling reaction, and several different Esterase enzymes theyre tested as catalysts for the Deblocking reaction.",
2014,USyd-Australia,"Additionally, they are investigating regulation of natural transformation mechanisms in E. coli in an attempt to allow uptake and recombination of attC containing genetic elements with added convenience. ",
2014,Berlin,"As the first iGEM team from Berlin, they decided to construct a simple BioBrick that enables synthetic biologists to remotely control the movement of E. coli. ",
2014,BIT,BIT-China designed a genetic lock E.co-Lock in bacteria to keep important strains safe from ecological threatening or commercial loss even when they are accidentally leaked out or intentionally stolen. ,
2014,UIUC_Illinois,"By repurposing a previously characterized caffeine degradation operon into Lactobacillus plantarum, they aim to create a probiotic that can sustain theobromine N-demethylation while simultaneously colonizing canine guts. ",
2014,Vanderbilt_Software,"Darwin is a software package to document changes to DNA which allows for easy, standardized, and collaborative editing on the genome scale. ",
2014,Warwick,"Disrupting the flow of biological information at the level of mRNA is a safer alternative to conventional gene therapy, wherein insertional mutagenesis can occur through integrating vectors.",
2014,UCSC,"For 2014, Team UCSC will focus on production of butanol fermented by a salt-loving microbe.",
2014,BIOSINT_Mexico,"For this project they have designed a modular system, plastic and ready to incorporate to A. thaliana; in order to extract the metals, in particular mercury, from the soil and convert it into a less reactive species.",
2014,OU_Norman,he goal of this research endeavor was to develop an iGEM compliant Clostridial shuttle vector to introduce genes for the production of branched and longer chain alcohols within Clostridial species. ,
2014,OUC-China,he project is to construct a novel model method of eukaryotic transfection for molecular biology research at individual level such as DNA vaccine and molecular marker.,
2014,UC_Santa_Barbara,"Here, they describe a novel use of recombinant biotechnology to generate Escherichia coli capable of both sensing and reporting the presence of pathogenic bacteria, by taking advantage of a pre-existing contact-dependent inhibition system.",
2014,NUDT_CHINA,"Here, they designed a series of genetic circuits in Escherichia coli to solve the SPP in a directed graph. The nodes and arrows are programed as theyll-assigned promoters and transcription factors (TFs) respectively.",
2014,ATOMS-Turkiye,"In their project, their will is to build two different devices, which work synergistically, to fix these two distinct situations. they decided to use ypoxia inducible systemsand eactive oxygen species (ROS) sensitive gene fragments? ",
2014,Tongji,"In their project, they build the parts for these three decolor-assistant proteins to assemble a decolor-assistant machine, and design experiments to see whether these three proteins have synergistic effect.",
2014,NCTU_Formosa,"In their project, they have successfully constructed and expressed in E. coli PBANs of nine different species and also built a capturing device. ",
2014,USTC-China,"In this project, their aim is to design and construct a colorful bio-imaging system----Once you project a picture on engineered C.cresentus, they present the same image accurately, and it even fltheirescent! ",
2014,UESTC-Software,"In this project, they present CRISPR-X, a sgRNA design tool fully supporting SBOL and BioBricks standards with dynamic algorithm based on intent function, chassis, and netheyst experimental data. The program can be used on all platforms.",
2014,SUSTC-Shenzhen,"In this project, they want to establish a more effective HIV-curing system with less side-effects by integrating CRISPR/Cas system into human hematopoietic stem cells, which aims to protect the helper T cells from virus infection.",
2014,Gifu,"In this study, they aim to build the method of synthesizing long-repeating proteins, massive one, and to improve translation efficiency. ",
2014,KAIT_JAPAN,"In this system , Helper T cells work mainly.
Th1 cells and T? cells keep balance mutually, and two cells usually control immune response. When this balance collapses and became the Th2 predominance, IL-5 is secreted excessively from Th2, and eosonophil,basophil,and mast cells are activated by IL-5. ",
2014,PoznanSoft,"MUFASA aims not only at facilitating the scarless cloning from the oligonucleotide design to putting the tubes into the thermocycler, but also at designing the fragments themselves in parallel with the overlaps for synthesis of big constructs de novo. ",
2014,Cambridge-JIC,"m枚sbi is a modular, open-stheirce biosensing platform developed using a novel, user-friendly plant chassis: Marchantia polymorpha. The m枚sbi biosensors consist of 3 modules: input, output and processing. ",
2014,Harrisburg_NBT,"Organophosphates (OP) represent a large class of toxic pesticides used heavily in these areas.  they have designed novel devices to detect these toxic pollutants in waterways called PUPS, or Paper Utilizing Pesticide Sensors. ",
2014,Calgary,The 2014 Calgary iGEM team has engaged with international infectious diseases experts and end-users to address this issue. ,
2014,AHUT_China,The aim of their project is to build a brand new bio-navigational system that can be used by the ordinary people.,
2014,NU_Kazakhstan,the aim of this project is to design biosensor to detect p53 in saliva samples for OSCC diagnosis using nanobodies expressed in bacteria.,
2014,Arizona_State,"The Arizona State iGEM team aims to produce biodiesel in a new and efficient way using Escherichia coli. Using a wax esterase, fatty acids and ethanol, both naturally produced by E. coli, can be combined to form biodiesel. ",
2014,EPF_Lausanne,The BioPad project aims to study how biological signals can be detected and processed in a fast and precise way. ,
2014,Aachen,The Cellock Holmes project aims to tackle these challenges all at once. ,
2014,Bordeaux,"The final goal is to assembly ELP, RLP and SLP to create new polymers properties.",
2014,Gothenburg,The goal of this project is to address this problem with a synthetic biology approach. they design and implement in Saccharomyces cerevisiae a synthetic gene circuit that olors?mother cells depending on their replicative age.,
2014,Pitt,The goals of the Pitt iGEM team are to: Engineer a plasmid that will replicate in P. acnes.,
2014,Georgia_State,"The GSU iGEM team has been working with the PGAPZ伪 vector system in order to use the vector to artificially produce the peptide Mambalgin-1, naturally found in the African Black Mamba snake venom. ",
2014,LIKA-CESAR-Brasil,The idea is to build a robotic system linked to genetic engineering capable of processing and prepare small samples of blood in an automated manner. ,
2014,Auckland_New_Zealand,"The iGEM team of Auckland, New Zealand, aims incorporate relevant biobricks of past projects along with novel biobricks to genetically engineer a bacterial based barrier/bandage with the intention of preventing of bacterial infection.",
2014,INSA-Lyon,"The INSA-Lyon team is developping an E. coli-based platform as an alternative depollution method for metal contamination in water using an amyloid-display system for surface-functionalization, called CurLy'On",
2014,UANL_Mty-Mexico,"The main advantage their work provides against suicide switches, a different type of security system for GMOs, is that their technology does not trigger a ""shut down"" to the target organism. ",
2014,Genspace,"The Open Lab is a key step towards democratization of synthetic biology. It is the complete set of knowledge, tools, and restheirces required to successfully develop a thriving community biolab, all created following open stheirce principles. The project has ftheir parts. 
",
2014,NTNU_Trondheim,The project undertaken will look at establishing the lactate inducible expression system into Synechocystis sp. ,
2014,CSU_Fort_Collins,the purpose of this project is to create a value added product from used frying oil as the feedstock.,
2014,SF_Bay_Area_DIYbio,"The Real Vegan Cheese project (aka iGEM team SF_Bay_Area_DIYbio) is a community team of more than two dozen individuals from all walks of life, sponsored by DIYbio labs Counter Culture Labs from Oakland and BioCurious from Sunnyvale.",
2014,Valencia_Biocampus,"The STOOL project aims at deeply stydying ftheir of the key engineering pillars of Synthetic Biology. STOOL stands for STandardization, STability, Orthogonality and Open Licence/legal issues. ",
2014,NEFU_China,"The system can detect the existence of metal zinc and cadmium through visualized pigment gene driven by the smt-locus, recycle these heavy metal ions by forming nanocrystals resulted from CDS7 and flocculate the nanocrystals. ",
2014,UC-Santa_Cruz-BioE,The UC-Santa Cruz-BioE team is working to design a self-sustaining microbial fuel cell (MFC) that can run on waste water.,
2014,Goettingen,their aim is to develop a diagnostic technique capable of detecting the presence of fungal pathogens in  a sample collected from a patient.,
2014,ULB-Brussels,their aim is to enhance recombinant protein production in bioreactors by making microorganisms addict to the production of a protein of interest (PI). ,
2014,York,their circuit is activated by a cadmium inducible promoter and is divided into two interconnected mechanisms: (i)increasing sulphate uptake and its targeting into cysteine production by engineering the cysteine biosynthesis pathway; (ii) increasing cadmium uptake and targeting of the free-cysteine into metal binding proteins (phytochelatins) for metal chelation/stabilization inside and outside cell. ,
2014,Sumbawagen,their circuit utilizes catabolite repression mechanism of E coli to measure the concentration of glucose in honey. ,
2014,IvyTech_SouthBend_IN,their device is useful in rapidly reporting the contamination of recreational waters or assuring drinkable water in developing nations.,
2014,Purdue,"their genetically engineered system combines five corn genes to produce these phytosiderophores: SAMS, NAS1, NAATI, DMAS, and TOM1. ",
2014,The_Tech_Museum,their goal is to create an activity where Tech Museum visitors with no biology background can become part of their team and can engage in the hands-on experience of engineering a bacteria. ,
2014,Macquarie_Australia,their goal is to engineer 13 genes of the chlorophyll biosynthetic pathway (CBP) from Chlamydomonas reinhardtii to be expressed in E. coli. ,
2014,Hendrix_Arkansas,"their goal is to engineer a strain of Yarrowia lipolytica, which is capable of detecting alkanes, to turn color in the presence of these volatile compounds.",
2014,Nevada,"their goal is to use both the auxin and jasmonic acid responsive pathways to develop a quick, efficient, and bioorthogonal system to control protein stability in yeast. ",
2014,UFAM_Brazil,"their project aims to develop contaminated water鈥檚 treatment using mer proteins for bioremediation, attach a fluorescent protein for bio-detection and metallothionein for bioaccumulation in order to reduce damage caused by mercury in the ecosystem.",
2014,Manchester,"their project aims to engineer a novel treatment for obesity. By modifying the natural CRP pathway, they will turn the commensal bacterium Escherichia E.coli Nissle 1917 into a 鈥渟ugar sponge鈥?that will absorb excess carbohydrates before they can be taken up in the human intestines.",
2014,METU_Turkey,"their project aims to keep the environment clean with the degradation of PET to pyruvate by E. coli. With this project, while the environment will be cleaned from PET, the E. coli would add pyruvate to the cell cycle and use it as a new energy stheirce for itself.",
2014,Virginia,their project design is centered on the creation of BioBricks that facilitate the formation of an E.coli biofilm that captures and degrades nylon microplastics. ,
2014,RHIT,"their project explores synthetic obligate mutualism as a means to produce novel, multi-species chassis as foundations for innovative synthetic biological applications.",
2014,Warsaw,their project introduces an eco-friendly retrieval technology for industrially significant elements. ,
2014,SCU-China,their project is focusing on using the simple prokaryotes to imitate the nerve system which exists in the advanced animals widely.,
2014,Korea_U_Seoul,"their project is to construct a novel protein whip?platform, with which they can make Corynebacterium glutamicum to express other corynebacterium pili structure comprised of chains of their interested protein. ",
2014,William_and_Mary,"their project is to create a series of tools for inducing, measuring and counting intracellular calcium spikes in both bacteria and yeast. ",
2014,WashU_StLouis,"their project is to study the systems in a simpler environment by expressing nitrogen-fixing genes in  E. coli, and to work on a light repressed system for gene expression, because the nitrogenase enzyme is poisoned by oxygen, a product of photosynthesis. ",
2014,British_Columbia,their project seeks to improve physical separation processes by targeting chalcopyrite (CuFeS2) and sphalerite (ZnS) minerals in natural ores using unique metal-binding peptides displayed on the S-layer of Caulobacter crescentus.,
2014,Vanderbilt,their project seeks to use the ideas of synthetic biology to develop a commercially viable strategy for the efficient production of a wide range of terpenoids.,
2014,ITESM-Guadalajara,"their project, itosan Factory (KF), consists in the production of a valuable biopolymer called Chitosan from the shrimp shell wastes using an ecological, economical and biotechnological process",
2014,Penn_State,their research will enable metabolic engineers to overcome two of the most commonly encountered combinatorial questions during metabolic pathway engineering.,
2014,SYSU-Software,"their software can mathematically simulate three major characteristics that describe the behavitheir of the system: static performance, dynamic performance and expression efficiency, which might help you determine the performance of ytheir designed system",
2014,Washington,"their team has developed a high throughput method to select for the increased expression and stability of engineered proteins, making them more amenable to large-scale production in Escherichia coli and other downstream applications. ",
2014,Technion-Israel,"their team is building a proof-of-concept computational network using E. coli cells for the detection of trace amounts of harmful substances, such as allergens in food.",
2014,TU_Delft-Leiden,their team will develop a microbial based sensor 鈥揈LECTRACE. The great innovation of their project consists on the biosensor's ability to produce a directly measurable electric signal as output. ,
2014,UGA-Georgia,"their two primary focuses in this study are: 1) improving the genetic tools for synthetic biology available in archaea and 2) demonstrating the utility of archaea in synthetic biology through production of geraniol. Previously, a synthesized gene encoding geraniol synthase was expressed in M. maripaludis, and geraniol production was quantified as 0.2% of lipid dry theyight using GC/MS",
2014,UST_Beijing,"their UST-Beijing team will continue to analyze the transformed human cells, and make further proposals based on the unique observation of these experiments, in order to promote health and human theylfare",
2014,NJAU_China,"There are copA promoterar Operator of mar locus ueO promoter existed in E.Coli, both are directly or indirectly regulated by copper ions. The most sensitive and effective would be chosen to trigger the sequential reactions. ",
2014,Hong_Kong-CUHK,"they aim at converting carbon dioxide and carbonate, which are excessive to the ecosystem, into methane",
2014,BUCT-China,"they aim at rapidly testing a multiply water sample, finding out whether it toxic or not and making a specific toxin detection, these toxin materials may be heavy metals and nitrate that contained in the contaminated water. ",
2014,WLC-Milwaukee,they aim to construct an Escherichia coli strain capable of secreting cellulose-degrading enzymes in an animal gut. ,
2014,NEAU-Harbin,they aim to establish one visual operation system of continuous target gene replacement to transform target gene into the high expression site through homologous recombination in the Aspergillus Niger genome. ,
2014,Reading,"they aim to increase their output by redirecting electron flow in the cyanobacteria Synechocystis sp. PCC 6803. To achieve this they have targeted areas in the photosynthetic electron transport chain to increase electrons, and pilus production to improve transfer to the anode.",
2014,SCAU-China,they aimed to enhance the electrogenic capacity of microbial fuel cells (MFC) by genetically modified bacteria and optimize the traditional microbial desalination cells (MDC) device. ,
2014,UiOslo_Norway,"they are aiming to build a system for organizing E. coli in a predetermined way, a MicrOrganizer. ",
2014,Valencia_UPV,"they are developing a synthetic plant capable of producing insect sexual pheromones and releasing them into the air. High concentration of sexual pheromones into the air prevent male insects from finding the females. Using this mate disruption strategy, damage in crops caused by larvae is avoided",
2014,Tsinghua,"they attempt to construct a marvelous TALEs system which can efficiently work in prokaryotic organisms. By optimizing the TALEs coding sequence with modeling methods and testing it by Golden Gate Assembly and Report System, they hope they can have a handle tool for gene editing in prokaryotic organisms.",
2014,Glasgow,"they attempted to create a recombinase switch which would, in response to arabinose, switch from encoding a flagellar gene, to two genes that encode gas vesicle formation, namely gvpA and gvpC. This switch could be applied to many areas, e.g. desalination, biofuel production and drug production, by simply changing the stimulus that would cause the switch to ? Computer modelling shotheyd that swimming was detrimental to floatation.",
2014,Brasil-SP,"they developed a genetic circuit that establishes a threshold, differentiating concentration ranges of Cystatin C. they envisioned it as a fast, simple and reliable tool for CKD screening and diagnosis",
2014,Yale,"they developed an anti-fouling peptide with two modular components: a mussel adhesion protein (MAP) anchor and LL-37, an antimicrobial peptide. ",
2014,WPI-Worcester,"they developed an E.coli based cell surface antigen expression system that can be utilized as a diagnostic tool for nearly any viral, bacterial, or fungal infection.",
2014,Penn,they engineered a strain of magnetotactic bacteria known as Magnetospirillum magneticum AMB-1 for biosorption of cadmium.,
2014,ITB_Indonesia,they establish ompA protein fused with LC-Cutinase in Escherichia coli BL21 thus exposing the degrading enzymes on the surface membrane of bacteria. ,
2014,LZU-China,they found that the electricity produced by MFCs was somewhat related to the substrates concentrations such as P-nitrophenol (PNP) in anode or Chromium (VI) in cathode. Then a novel MFC system was designed. ,
2014,BUGSS_Baltimore,"They has built on this earlier work, developing a new Biobrick for Pfu DNA polymerase, which offers a replication error rate approximately 6 fold lotheyr than that of Taq. The development of this Biobrick began with the amplification and cloning of the pol gene for Pfu DNA polymerase from contaminant DNA in a commercial stock enzyme. ",
2014,UCLA,"they have adapted Iterative Capped Assembly to modularize and flexibly control the assembly of silk domains that confer strength or elasticity in specific ratios. Varying the composition of the silk genes, or adding other functional proteins will allow precise fine-tuning of the resulting properties, and expand their practical utility. This platform can be readily applied to assemble other highly-repetitive proteins, or large genes from libraries of parts.",
2014,PoznanBioInf,they have designed a synthetic digital device inspired by electronic circuits called multiplexers. Its 3-bit memory allows saving and processing binary inputs in E. coli.,
2014,Harvard_BioDesign,"they have designed an information encoding and storage system in the E.coli curli biofilm network. In their system, bacteria are engineered to produce a mixture of curli subunits that can later be read out as information.",
2014,uOttawa,they have designed and tested new dual input promoters that use transcriptional activators as both activators and repressors.,
2014,DTU-Denmark,"they have developed a method for measuring promoter activity in absolute units, that can be used to better characterize promoters. ",
2014,CU-Boulder,they have engineered a novel phage therapy utilizing the endogenous CRISPR-Cas9 system from Streptococcus pyogenes packaged into non-replicating phage.  CRISPR-Cas9 systems target 20-32 nucleotide DNA sequences within the bacterial genome. ,
2014,Queens_Canada,they have engineered several inducible intein switches capable of being activated by common environmental triggers as theyll as small molecules. ,
2014,BGU_Israel,"they intend to utilize synthetic biology in order to develop novel strategies for the treatment of the Metabolic Syndrome. By addressing the causes of the syndrome rather than its symptoms, and by doing so in several different fronts, they hope to present a safe and better way to improve global health!",
2014,Aalto-Helsinki,they introduce an Open Sequence business model implemented around their switch. they want to enctheirage future companies to create Open Sequence based solutions and to empotheyr customers to participate in the product development. Open Sequence model transparency as theyll as lotheyr degree of protection raises trust and continuity and benefits larger community.,
2014,XMU-China,they introduce orthogonal experiments to figure out the most impact factor of pattern formation. they use computational modelling to explore the laws of pattern formation and pattern changes over time on semisolid medium. ,
2014,HokkaidoU_Japan,"they made an easy and useful protocol, which enables us to design standarized BioBrick parts expressing asRNA. Using this protocol, anyone can easily became Cupids. These asRNAs contain paired-termini (PT) structure, which flanks asRNA sequence, and stabilizes asRNA part through forming ""stem-loop structure"" in E.coli cells (N. Nakashima et al. 2006).",
2014,Nagahama,they make various systems by using chemoattractant. they keep one function in one E.coli.  This theory means to make simple plasmid. The following is one example. they like to collect cadmium in water.,
2014,Stony_Brook,they propose a strategy against this sort of resistance which uses the bee venom compound melittin to target pathogenic bacteria. ,
2014,GES_NCSU_Raleigh_NC,"they propose an iterative concept mapping framework to assess ethical, legal, social, and environmental outcomes associated with releasing genetically engineered plants beyond the laboratory. ",
2014,TU_Eindhoven,"they report a 鈥淧lug-and-Play鈥?system allowing the introduction of chemical anchors on cell membranes, subsequently used to attach a functional coating. ",
2014,Michigan_Software,"they set out to build a database that integrates a crowdstheirced ratings and comments system to serve as a protocol curator that enables theyt lab investigators to compare various protocol efficacies, quantify a protocol鈥檚 acceptance within the scientific community, and provide an avenue through which experiential knowledge can be communicated",
2014,Tokyo-NoKoGen,They set out to construct an E. coli that can safely eradicate cockroaches but not affect mammals.,
2014,Jilin_China,they strives to explore simple methods for detection of this toxin and finding ways to alleviate water pollution caused by this toxin.,
2014,Concordia,"they strove to characterise a complete range of microalgal parts, including promoters, terminators, fluorescent proteins, localisation tags, antibiotic markers, and CRISPR/Cas.",
2014,Marburg,"they systematically analyzed the structural evolution of certain protein families by a computational approach, and deduced design principles for the creation of artificial scaffolds and catalysts with individualized properties. ",
2014,Zamorano,they will scientifically demonstrate that the project Know ytheir enemy complies with the established norms of biosafety. ,
2014,GeorgiaTech,they will use their primer design technology to insert varying levels of efficient promoter and ribosomal binding site pairs to produce the optimal amounts of individual proteins for the formation of a fully functional enzyme-complex.   ,
2014,Freiburg,"they, the iGEM team Freiburg 2014, designed a system which combines the advantages of two biotechnological approaches 鈥?the spatio-temporal resolution of optogenetics and the simplicity of gene transfer offered by viruses.",
2014,ArtCenter_MDP,"This objective has created a network of open-ponds for algae production, dispersed across the souththeyst of the United States.",
2014,Tec-Monterrey,"this project aims to develop a bacterial cancer therapy. A genetically modified E. coli will have knockouts in the lpp and msbB genes, which encode for the Braun鈥檚 lipoprotein and for the myristic acid moiety transporter of the lipopolysaccharide respectively. ",
2014,Toronto,This project proposes an inducible plasmid-loss system to remove genetically engineered traits from a population without imposing selective pressure against the safeguard itself. ,
2014,Minnesota,"This study describes the engineering of recombinant bacteria that can facilitate the bioremediation of the neurotoxic methylmercury and mercury ions into less toxic form, and reduce other heavy metals.",
2014,TU_Darmstadt,This year the team aims to achieve victory in the championship of synthetic biology by investigating a new approach to produce a plant pigment called Anthocyanin in Escherichia coli (E. coli). ,
2014,Tokyo_Tech,"This year, their team Tokyo_Tech designed Escherichia coli which can act like a bank. ",
2014,SCUT,"This year, they are dedicated to using PKS domains as a synthetic unit to diminish the size of the target gene fragments. Meanwhile, the host strain E. coli should be genetically modified in order to enable the synthesis of the corresponding substrate.",
2014,TCU_Taiwan,"This year, they are trying to develop a CRISPR system combined with phage transduction to solve bacteria's resistance to antibiotics.",
2014,Kyoto,"This year, they have two projects. The first project is DMS (dimethylsulfide) synthesis. DMS is known to be a precursor of the cloud condensation nucleus. The second project is magnetosome formation.",
2014,ZJU-China,"This year, ZJU-CHINA seeks to build a gene-insertion system in bacterial chromosome, ""GeneSocket"". Clearly different from the in vitro constructing methods mentioned before, GeneSocket, which can be easily combined with existing in vitro methods, makes gene expression more accurate, stable and controllable by assembling genetic elements in chromosome directly.",
2014,Tianjin,Thus their project is focus on the bio-signal transformation to diversify output methods of biosensor.,
2014,Aix-Marseille,"To control the cell cycle, this project relies on a re-engineered chemotaxis system which instead of controlling the flagellar rotation direction drives changes in gene expression in response of the cell community  through the use of a series of on/off switches and a modified serine production pathway which allows bettheyen cell communication.",
2014,HIT-Harbin,"To detect dioxins blisteringly, they have constructed device for rapid detection of dioxins inside yeast. ",
2014,SZU-China,"To enhance the effects of decontamination in various fields, they use an alkaline cellulase as detergent additive. they also added a ccdAB suicide system to their e-machine, by this they could remove the biological machine whenever they need for biological safety.",
2014,Greensboro_Aggies,"To help students gain a better understanding of inducible gene expression, they developed ""BactoArt"", a multicomponent, inducible expression system that allows students to visualize gene regulation in action.",
2014,Caltech,"To investigate the viability of independent, non-interfering cell-to-cell signaling, they attempted to implement non-endogenous bacterial quorum-sensing systems from various Gram positive bacteria in E. coli.",
2014,UB_Indonesia,UB-Indonesia team developed a Cervical Cancer Care + (C3+) to prevent the cervical cancer epidemic.,
2014,HUST-Innovators,Using the conception of module 锛學e are trying to use the third generation sequencing to build new biobricks from some unsequncing species.This is a novel idea to combine the bioinformatics and the synthetic biology.they improve the algorithm to let the sequencing be quicker and cheaper and the output of their software includes both genome and some useful biobricks. ,
2014,BYU_Provo,Using the native sludge bacteria Nitrosospira multiformis and Nitrosomonas eutropha as chassis they inserted genes to produce erythromycin esterase B and -lactamase to breakdown azythromycin and penicillin. ,
2014,WHU-Pharm,What they need to do is to construct a bio-sensor in order to screen the drug they want in such a big pool. What they need to do is to construct a bio-sensor in order to screen the drug they want in such a big pool.,
2014,BostonU,"With a pinch of theyt lab work and a dash of computational tools, they have developed a new recipe called Chimera that will help fellow synthetic biology cloners in the creation of their genetic devices! ",
2014,UNIK_Copenhagen,With their idea of using an antibody-fluorophore agent as a biosensor they are able to combine the high affinity of an antibody with the simple detection method of a fluorophore. ,
2015,Hong_Kong_HKU, Design and engineer two biological circuits based on the versatile CRISPR Cas systems as replaceable killing switches. ,
2015,Consort_Alberta, ECOS is a biological sensor designed to detect aromatic hydrocarbons found in soil. ECOS allows detection of contamination on site and is easy to use.,
