 Team  ,Year,SimpleDescription,Description,Keywords,Chassis
UMBC-Maryland,2015, Increasing E. coli s' resistance to copper toxicity as well as increasing their ability to uptake copper.,"E. coli have the ability to uptake copper, but after a certain threshold, the copper becomes toxic to the cell. Due to the toxicity of copper, E. coli quickly saturate and are unable to uptake more than a small amount of copper. the goal is to increase the efficiency of copper uptake in E. coli for the purpose of bioremediation in freshwater ecosystems. The team engineered E. coli to express the yeast CUP1 gene in an attempt to increase copper tolerance. CUP1 encodes a metallothionein protein that binds 11 copper atoms, thereby preventing formation of the ROS. In addition, metallothionein detoxifies hydroxyl radicals with its cysteine groups.",Copper tolerance; Terraforming; Toxicity; Heavy metal; ,E. coli
UNIK_Copenhagen,2015,Modifying moss to colonize Mars,"Space Moss is working on the quest to colonize Mars by bringing together Astrophysics and Synthetic Biology. The idea of Martian colonisation have captured the minds for generations. Creating a sustainable environment on Mars where humans could survive, however, is not a trivial problem. Synthetic biology could help provide a solution by creating genetically modified organisms capable of producing essential compounds for Mars-colonist survival. the first step has been to make moss able to produce compounds essential for it to thrive on Mars. The team focthe teamon an antifreeze protein, as it could help the moss to survive the extreme temperatures found on the surface of the planet. the second step is to produce compounds useful to colonists. Therefore, The team have been working on getting it to produce resveratrol, as a proof-of-concept of medical applications.",Moss; Mars; Terraforming; Extreme environment; Anti-freee protein,Moss
Uppsala,2015,Creating biosensor for Polycyclic aromatic hydrocarbons,"the cells need to detect the PAHs for the degradation. But the molecules do not readily pass through the membrane. The team solved this predicament by using one of the smaller PAHs as an indicator to degrade the heavier PAHs. The degradation of this small PAH inside the cell relieves repression of genes under the control of the NahR/Psal promoter system. This causes a series of enzymes to get expressed and secreted outside the cell, oxidising and cleaving the ring structures of the carcinogenic compounds, making them available for downstream bio-degradation. To increase the degradation efficiency the system also produces rhamnolipids.",Biosensors; PAH; Carcinogenic; Degradation; Fussion,E. coli
York,2015,Engineering E. coli to enhance phosphate acquisition in order to solve Phosphate pollution,"the project builds on the enhanced biological phosphate removal process, using natural bacterial communities as an alternative to these chemicals. The team are engineering Escherichia coli to enhance its phosphate acquisition. This will be achieved by upregulation of the native phosphate transport and metabolism genes. The team will also add heterologothe teamgenes from proposed phosphate accumulating species. Target gene selection is assisted by computer based metabolic modelling. The team are improving assays used to determine the phosphate accumulation levels, achieved by the genetically engineered bacteria. New European legislation will require water companies to decrease their maximum phosphate concentrations from 3 mg/L to 0.1 mg/L.",Phophate pullution; Water purification; Bacterial community; Computer based modelling,E. coli
ZJU-China,2015,Modifying E. coli to express two toxins to kill termites.,"The aim of the project is to create a brand-new system to kill termites. The team chose two kinds of toxins which are safe and environmentally friendly to eliminate termites. The team have cloned genes coding insecticidal toxic proteins from Photorhabdthe teamluminescens TT01, a bacteria poisonothe teamto numerothe teaminsects, and express them in E.coli. The team enhance the production of Avermectin in S.A. Then, The team prepared cellulose nanocrystals (CNC) , and generated the nanofibrothe teammicrospheres (NCM) self-assembled from CNC as bacteria carriers, in order to reduce the loss, improve transport efficiency, and target the carrying to aimed location and preventing bacteria from releasing into the environment.",Termites; Pests control; Toxicity; cellulose nanocrystals (CNC); nanofibrothe teammicrospheres (NCM),E. coli
AHUT_China,2015,A bio-device can control the APeGs of the plant metabolism,"Acyl Phenylethanoid Glycosides（APeGs）plays a very important role in variothe teamplants that can bring benefits to human beings through their physiological activity. we’ve started with the study on the first key enzyme PAL in the synthetic pathway of APeGs. The team transferred the gene RgPAL1 to highly express PAL, and study its influence on APeGs. The result shows that part of APeGs enrichment can be gained by raising PAL. It serves as the first key node in the network of regulation and control pathways, and has laid a good foundation for the later study on the network of metabolic regulation and control.",Agriculture; Variothe teamplants; Acyl Phenylethanoid Glycosides（APeGs）; Metabolism,agrobacterium tumefaciens EHA105
Columbia_NYC,2015,"Escherichia coli ""Nissle"" and Lactobacillthe teamreuteri to express gut hormones involved in regulating appetite and insulin production.","The team present a method to engineer a synthetic consortia of probiotics, namely, Escherichia coli ""Nissle"" and Lactobacillthe teamreuteri, to express PYY, Ghrelin, and GLP1 - gut hormones involved in regulating appetite and insulin production. Such an undertaking involves establishing a secretion system via signal peptides and an intra- and inter- species communication mechanism via AHL-based quorum sensing. It is to be noted that such a system is designed to be versatile with a gut consortia being one of many potential uses.",Health; Gut hormones; Appetite; Insulin; Quorum sensing,E. coli
IIT_Kharagpur,2015,Detection of Food Spoilage Using Quorum Sensing Systems in E. coli,"Food spoilage renders a product undesirable for consumption and is the outcome of the biochemical activity of a microbial community. the engineered organism can be used as a marker of freshness in different kinds of food (dairy and other packaged products) by detecting the presence of Acyl Homoserine Lactones using the Lux operon system in E. coli and rendering a visible colthe change (through lycopene production), ththe teampreventing the consumption of such food and aiding healthy living.",Biosensor; Detection; Food Spoilage; Quorum Sensing; Food quality; Health,E. coli
Lethbridge,2015, Targeting and silencing essential Fusarium genes to cure a fungal disease.,"Fusarium head blight (FHB) is a fungal disease that reduces grain yields and seed quality across the world. Fusarium’s airborne spores land on spikelets of flowering crops, producing trichothecene mycotoxins that inhibit cell processes. the project represents a species specific and widely applicable solution to global agriculture problems using the synthesis of highly pure dsRNA as a topical fungicide. It has been shown that insect midgut cells taking up double-stranded RNA (dsRNA) are processed into small interfering RNAs (siRNAs) by the Dicer enzyme. If the siRNA is complementary to a certain gene, RNAi can silence its expression. This project will target and silence essential Fusarium genes. the design involves a scaffold where any dsRNA sequence of interest may be inserted for gene targeting within a specific species.",Fusarium head blight (FHB); Pests control; RNAi; Treatment; Gene silencing,-
Marburg,2015,"Engineered, cell-based particles produce dietary supplements to alleviate malnutrition. A cell-free protein matrix with a functionalized surface targets specific nutrients to lower their concentration in the human gut. ","Engineered, cell-based particles produce dietary supplements to alleviate malnutrition. A cell-free protein matrix with a functionalized surface targets specific nutrients to lower their concentration in the human gut. ",Malnutrition; Health; Cell-free; Gut; ,Cell free system (protein matrix)
METU_Turkey,2015,Engineering yeast to produce and secrete kumamolisin enzyme to destroy gluten while the bread continues to be fermented.,"People with celiac disease have to consume gluten free food because gluten creates an auto-immune response in their body. However, gluten free food is a lot more expensive than normal food. That is why, The team decided to find a solution to this problem by taking kumamolisin and putting it in a vector of yeast that has alpha secretion factor then putting the plasmid in yeast. The yeast will produce and secrete kumamolisin enzyme to its external environment and will destroys gluten while the bread continues to be fermented. The team also prepared a gluten detection kit using green fluroscent protein in PQLP aminoacid sequence. If kumamolisin cuts the gluten it will have cut GFP as well so there will be no colthe but if it does not cut the gluten than it also has not cut GFP so green color will be observed.",Celiac disease; Health; Gluten free; Kumamolisin enzyme; Fermentation,Yeast
Nagahama,2015,New food preservation method by rose odor E. coli,"Food preservation is an important factor of the food problem. The team considered a new food preservation method ""Flavorator"" to solve the food problem. ""Flavorator"" is a method of preserving food in an antimicrobial volatile substances (terpenoid :geraniol and farnesol) derived from plants .E. coli has a non-mevalonate pathway. therefore, The E. coli, there are metabolic pathway for synthesizing a precursor of farnesol and geraniol. E. coli can synthesize ""geraniol"" by introducing Ocimum basilicum geraniol synthase (ObGES). E. coli can synthesize ""farunesol"" by introducing the enzyme reaction rate-limiting step (ispDF, idi, dxs, ispA). A non-mevalonate pathway device is the enzyme reaction rate-limiting step operon. Gene involved in the enzyme reaction rate-limiting step to be introduced towards the E. coli.",Food preservation; Food industry; Antimicrobial; Non-mevalonate pathway; Gerniol,E. coli
NEFU_China,2015,Creating a detector for pathogenic bacteria in yogurt.,"Yogurt gets bacteria contamination more easily when stored with improper approaches. In this case, shelf-life is not that reliable. Considering the adverse effect that may be caused by bad yogurt, the team aims to create a handy detector for pathogenic bacteria in yogurt. Autoinducer2 (AI-2), a signal molecule in quorum sensing system, serves as the key of the project. The team constructed the AI-2 response pathway of Salmonella in Lactobacillus. Produced by pathogenic bacteria, the extracellular AI-2 will enter the cytoplasm of the engineered bacteria, and then lead to the expression of the report gene. As pathogenic bacteria produce AI-2 constantly, the engineered bacteria will make the existence of pathogenic bacteria visible to naked eyes. Furthermore, the genetically engineered Lactobacillthe teamcan be used directly in yogurt fermentation, which will make the detecting process even more convenient.
",Yogurt; Fermentation; Food industry; Biosensor; Detection; AI-2;, Lactobacillus
NRP-UEA-Norwich,2015,Creating a bacteria that can alleviate colon cancer,"Colon cancer is the second most common cause of cancer deaths with 30,000 cases diagnosed every year in the United Kingdom. Studies suggest that resistant starches may reduce colon cancer by enabling colonic bacteria to produce short-chain fatty acids, including butyrate. the project took two approaches to increase colonic butyrate. The first approach was to develop a screen for enzymes that could transfer acyl/butyryl groups to alpha 1,4 carbohydrates in bacteria and plants. To support this The team modelled and modified carbohydrate branching. Enzymatic modification of carbohydrates could also provide environmentally-friendly methods for the production of modified starches used in a wide range of industries. The second approach aimed to transfer the butyrate biosynthetic pathway to Escherichia coli.",Cancer treatment; Colon cancer; Alleviation; Screen; Butyrate biosynthetic pathway,E. coli
Paris_Bettencourt,2015,"Engineering S. cerevisiae and lactobacilli, commonly found in Indian fermented rice dishes, to enrich foods with vitamins A, B2, and B12, and bioavailable iron","Food fermentation is practiced by every culture in the world, and is especially widespread throughout the Indian subcontinent. Although fermentation enriches foods with some essential vitamins and amino acids, many regions of the subcontinent still suffer from high malnutrition. The team are addressing this problem by engineering S. cerevisiae and lactobacilli, commonly found in Indian fermented rice dishes, to enrich foods with vitamins A, B2, and B12, and bioavailable iron. 
The team also implemented a differentiation system for reducing the fitness cost of over-expression of multiple pathways, and an easy E. coli sensor for measuring vitamin concentration using a riboswitch. 
the user-centered approach incorporates a low-cost and open hardware framework, both for growing and distributing starter cultures, and for quality control. This will give local affected populations power over their own food, as opposed to other GMO nutritional enrichment strategies, by allowing them to grow their own source of vitamins.
",Food fermentation; Food industry; Malnutrion; Nutrition; Vitamin; Riboswitch; User-centered,S. cerevisiae; lactobacilli
Scut-Champion-Park,2015,Biosensor of Tetracycline in food,"the group has developed a simple, reliable and efficient method to measure the antibiotics.the Tetracycline biosensor can detect the tetracycline residues in agricultural products (such as: meat, eggs, milk, etc.). the group constructed the tetracycline inducible expression system. And through plasmid mediated, the system was transfected into Escherichia coli TOP10 and GS115 Pichia pastoris. It can generate a rtTA transcription activation factor in cells. RtTA combining with tetracycline antibiotics can activate the fluorescent protein expression system, which can indicate the residue level of tetracycline by fluorescence detection.",Biosensor; Tetracycline; Food industry; Antibiotic; Agricultural,E. coli
SJTU-BioX-Shanghai,2015,Extracting sodium chloride from seawater through biological membranes of cyanobacteria,"This year, The team will engineer a recombinant cyanobacteria to achieve “biodesalination”, which means to extract sodium chloride from seawater through biological membranes. There are already some methods to convert saltwater into freshwater, such as distillation and reverse osmosis. However, the high energy consumption of these technologies has limited their application. Therefore the development of an innovative, low-energy biological desalination process, by biological membranes of cyanobacteria, would be very attractive. Many cyanobacteria possess salt-tolerance mechanisms, among which sodium export is the most important one. Halorhodopsin is a light-driven inward-directed chloride pump from halobacteria. The team will functionally express it in cyanobacteria to drive influx of chloride together with sodium, ththe teamconferring cyanobacteria the ability to absorb salts to a significant degree.",Seawater transforming; desalination; Sodium chloride; Low-energy,cyanobacteria
WashU_StLouis,2015,Construction of a minimal nif cluster and computational modeling to optimize nitrogen fixation ,"Fixed nitrogen is an essential component of artificial fertilizers. However, given the heavy environmental and economic costs of fertilizers, interest in biological nitrogen fixation has recently increased. One possible alternative to artificial fertilizers is to transfer the highly active Cyanothece sp. ATCC 51142 nitrogen-fixing (nif) cluster to plant chloroplasts. However, further characterization of the cluster is needed before that can be done. The team attempted to determine the set of genes from the large Cyanothece nif cluster necessary for nitrogen fixation and inserted the selected genes into two plasmids. In order to further characterize the minimal cluster, The team developed CRISPR/dCas9 knockdown plasmids and overexpression plasmids. Additionally, The team studied a genome-scale model of nitrogen-fixing E. coli through flux balance analysis that will help the teamoptimize cofactors necessary for nitrogen fixation. The team identified potential genetic interventions and media modifications that could improve cell energy levels, growth, and production of fixed nitrogen.",Agriculture; Nitrogen fixation; Artificial ferilizer; Minimal nif cluster; CAD,E. coli
Amoy,2015,Caculating the most suitable efficiency of RBS of leucine dehydrogenase to decrease additional NADH.,"L-tert-leucine is important in developing chiral pharmaceutically active chemicals. Many methods have been used in L-tert-leucine synthesis, but products are usually racemic. Scientists developed enzymatic reductive amination to product L-tert-leucine by using leucine dehydrogenase and formate dehydrogenase. Initially, they used isolated enzymes, which can be disadvantageothe teamfor that enzymes are always destabilized in the isolation and purification process. What's more, the cofactor-NADH is rather an expensive raw material, which will enhance the cost. So scientists introduced whole-cell bio-catalysts to L-tert-leucine production. Whole-cell biocatalysts could stabilize enzymes and reduce the addition level of co-factor NADH. However, the NADH consumption rate does not equal to its regeneration. The criminal is different strength of enzymes, The team regulate the efficiency of RBS to control its strength. With mathematical modeling, The team will get the most suitable efficiency of RBS of leucine dehydrogenase to decrease additional NADH.",RBS regulation; Chiral; CAD; Leucine dehydrogenase; stereochemistry,No Chassis
ANU-Canberra,2015,Developing an application for the CRY2 and CIB1 light-inducible expression system to synthesis NAD in Escherichia coli.,"In the International Year of Light, induction of gene expression using light offers high spatiotemporal resolution and is low cost compared to traditional chemical induction. The Australian National University iGEM team explored the principles of optogenetics, an emerging field in which gene expression can be precisely controlled by light. The team developed an application for the CRY2 and CIB1 light-inducible expression system to synthesise NAD in Escherichia coli. NAD is a commercially valuable metabolite, however in large quantities NAD is toxic to E. coli. the light-inducible expression system enables the accumulation of the NAD precursor, α-iminosuccinic acid in darkness. Blue-light induction of an irreversible, blue-light activated switch with a split, modular CRY2/CIB1-Cre-recombinase construct enables production of a late-stage biosynthetic enzyme, allowing the rapid production of the toxic metabolite from the accumulated precursor. The team have further developed a customisable blue-light source for the activation of the construct under different light conditions.",Optogenetics; Light-induce; NAD synthesis; Various conditions; Blue-light,E. coli
Austin_UTexas,2015,Increase the stability of a few genetic devices,"After an organism is reprogrammed with a genetic device, the device will often mutate, or “break”, decreasing the metabolic load on the organism and giving it a competitive advantage. This commonly allows the organism with the broken genetic device to dominate the population, undermining the purpose of the original reprogramming. the goal is to characterize sequences within genes and plasmids that are more likely to mutate, since the research suggests that certain devices are more easily broken than others. The team expanded on this research by transforming fthe E. coli strains with fluorescent protein plasmids. Breaking times varied noticeably between strains, suggesting that the host’s own genetic material also influenced device stability. Based on the findings, The team decided to increase the stability of a few genetic devices, including the pDCAF3 plasmid, which the 2012 UT Austin iGEM team designed to allow E. coli to measure caffeine content through caffeine metabolism.",Gene expression; Devices' stability; ,E. coli
BostonU,2015,Developing conditionally dimerizable split protein systems for genetic logic and genome editing applications,"The field of synthetic biology seeks to engineer desirable cellular functionalities by developing molecular technologies that enable precise genetic manipulation. A promising solution is to reliably control proteins that naturally execute genetic modifications. Current strategies to regulate activity of such proteins primarily rely on modulating protein expression level through transcriptional control; however, these methods are susceptible to slow response and leaky expression. In contrast, strategies that exploit post-translational regulation of activity, such as conditional dimerization of split protein halves, have been demonstrated to bypass these limitations. Here, The team compare the relative efficiency of previously characterized dimerization domains in regulating activities of three important genetic manipulation proteins - integrases and recombination directionality factors for genetic logic applications, and saCas9 for in vivo genome editing applications. The team also establish guidelines to rationally identify promising protein split sites. the characterization of these systems in mammalian cells ultimately paves way for important biomedical applications.",Genome manipulation; Genetic logic; Genome editing; Dimerization; Biomedical,E. coli
CAU_China,2015, Creation of few new genes all can resist to two different herbicides.,"In the project, The team create 4 kinds of transgenic plants. All of them have the resistant to two kinds of herbicides. The team use the foot-and-mouth disease virthe team2A polyprotein to link to two different resistant genes. In the modeling part, The team try to use computer modeling to predict which kind of protein can be linked with 2A and the how the 2A polypeptide affects the protein's function.

As The team know, herbicide is not the only stress to crops in the agriculture industry. There are many other stress, such as pest, freezing and drought stress. So in the future, The team want to use the 2A polypeptide to link the resistant genes to these stress environment. Besides, The team want to improve the 2A polypeptide so that The team can link more genes and the side effect to the proteins will be reduced.",Agriculture; Herbicide-resist; Plant; Stimulation; 2A polypeptide,E. coli
Concordia,2015,Developing a protein scaffold that may be easily customized and used by synthetic biologists to perform variothe teammolecular processes.,"This year The team genetically engineered a strain of the species Lactococcthe teamlactis by introducing optimized genes of the bacterium Clostridium thermocellum. the ultimate goal was to obtain an organism capable of expressing a customizable extracellular platform that could harbthe a very wide range of enzymes that, in turn, would be able to carry out a seemingly endless variety of metabolic processes",Protein scaffold; Cell biology; Costomizable; Artifical-metabolism,Lactococcthe teamlactis 
Duke,2015,"a gene circuit to detect antibiotic resistance, a review of programmable cell deaths and the creation of a $100 thermocycler. ","The design of the antibiotic resistance detector was began but because of cloning problems was not finished. A review of programmable cell deaths produced a strong response from the Phi X 174 (K1835500), however Protegrin-I (K628000) could not be proven to inhibit cell growth from within the cell but further testing is required. Further, The team recommend a variant on Protegrin, Cysteine-Deleted Protegrin (K1835502) which is still antimicrobial but does not have haemolytic activity. the PCR machine, while still slow due to an underperforming voltage source, is ready for initial PCR efficiency testing.",Antibiotic resistance; biosensor; Review; Thermocycler; PCR; Cheap,Phi X 174 (K1835500)
Fudan,2015,"designing fusion proteins to promote miRNA sponge circularization, which can make miRNA sponges more stable and potent. ","the project focthe teamon the devices to cyclize specific part of RNA, aiming to start a circRNA revolution.
The team designed three types of devices to cyclize the RNA based on the back-splicing mechanism:the ""Ouroboros""(cyclizing device based on the inverted repeat sequence in the exon-flanking region), the ""Cyclizer""(proteins that accelerate RNA cyclization)and the acRNA(ssRNA that accelerate RNA cyclization).
The team experimentally validate that the device can accelerate the formation of cirRNA. The team also measured the half-life time of the circRNA, which proved its stability. To solidity the experiment procedure, The team designed a device to report the level of mir-21 concentration and modeled the steady state of proteins to confirm the design.",Molecular biology; circRNA; Fusion protein; ,No Chassis
Harvard_BioDesign,2015,"building a platform for controlling specific bacterial adhesion in a variety of biological settings, including colon cancer therapy.","Even under shear stress, pathogenic E. coli bacteria manage to invade the gut to cause disease every day. The secret to their success is a hair-like appendage called Type 1 Pili which is remarkably adept at binding to human epithelial cells in rough conditions. Inspired by nature, the team has adapted this system in a non-pathogenic strain to make E. coli into a specific binding machine for customizable targets. The team will use it to address colon cancer. By fusing heterologothe teampeptides to the adhesin domain, The team first show that the mutant E. coli can be regulated to grab heavy metals like Nickel out of water. Next, The team show a knock-out of the adhesive domain's pathogenic binding activity and introduce a peptide known to bind to colon cancer. The team imagine the system might be used to localize an anti-cancer drug or toxic compound to early-stage cancerothe teamgrowths within the colon.",Adhesion; Colon cancer; Heavy metal; Cell-binding,E. coli
Heidelberg,2015,"Developing a toolbox consisting of easy to use standards for in vitro RNA usage, practical readouts and means for mRNA editing. ","Like Proteins, RNA folds into a unique, functionally relevant 3D structure – as a catalytic ribozyme or an aptamer detecting and selectively binding a ligand. To obtain these functional RNAs, simple transcription of a DNA sequence is sufficient. Yet finding the few functional sequences has so far been challenging and has impeded its widespread use in synthetic biology. As a part of the project, The team develop a software that drastically reduces both required resources and effort of directed evolution, as it creates aptamers for virtually any molecule through computational simulation. With the goal to provide the iGEM community with the power of RNA, The team develop a toolbox consisting of easy to use standards for in vitro RNA usage, practical readouts and means for mRNA editing. To reach the end user with the work, The team create straightforward tests for the detection of numerothe teamnoxiothe teamsubstances.",RNA manipulation; Toolbox; Software; Easy-to-use; vitro RNA usage,Kit
KAIT_Japan,2015,Fuse target protein with Dronpa 145N to control protein formation therefore function by light.,"Controlling protein activity by light is important for analyzing protein function and controlling synthetic biology system.However, previothe teammethods require co factor or use toxic blue light. Fluorescent proteins such as a Green Fluorescent Protein are widely used as optical sensor. The team forcused on Dronpa in them. Dronpa is a green fluorescent protein which is cloning from Echinophyllia sp.This is a photswitcable fluorescent protein, it can reversibly change On state and Off state. The team used mutant of Dronpa, Dronpa145N. Dronpa 145N switches on under 400nm light and forms a tetramer, and switches off under 500nm light and forms monomer. Fuse target protein with Dronpa 145N. Dronpa 145N domain reversibly change monomer and tetramer by light, the target protein between Dronpa 145N domain can change active conformation and inactive conformation. In this way, The team can control protein activity by light. This method does not require co factor and use blue toxic light.",Structure biology; Protein fusion; Switch; Light-induce; Toxic-free,No Chassis
Minnesota,2015,Developing the utility of Viral 2A sequence in yeast and a mathematical model to estimate gene order.,"Both technical and social obstacles hinder widespread use of synthetic biology approaches. One technical challenge is optimization of multi-enzyme pathway gene expression. Viral 2A sequences can improve translational efficiency of polycistronic encoded proteins. Here The team demonstrated the utility of this technology in yeast by expressing genes to produce compounds in the beta carotenoid pathway. Furthermore, The team have developed a mathematical model to estimate gene order for optimal biosynthetic production using 2A sequence and present it as a community tool to streamline future applications. ",Cell biology; 2A peptides; CAD; Expression optimization; Gene order,Yeast
Penn,2015,A biological analog of the optocoupler,"The 2015 Penn iGEM team presents a biological analog of the optocoupler, a cell-to-cell communication system in which a ""sender"" cell generates light via bioluminesence and a ""receiver"" cell expresses photoreceptors to enable light-dependent physiological responses. The team show that light elicits a response in light-sensitive receivers and illuminated potential applications for this alternative form of cell communication.",Analog; Cell communication; Cell biology; Light-sensitive; Illumination,E. coli DH5-α
Tec-Chihuahua,2015,Cell Transformation and Transfection by Carbon Nanotubes,"Techniques used for gene delivery into the cells have low efficiencies, can be expensive, or use complex equipment and are complicated to do. That is why in recent years it has sought new strategies for effective transformation of cells at low cost. One of these strategies is the use of nanotechnology, which has the potential of crossing cell membranes and increase solubility, stability and bioavailability of biomolecules, thereby improving efficiency of release. Here, The team intend to evaluate the efficiencies of gene delivery of DNA-CNTs in Escherichia coli cultures, embryos in early development of Bos taurthe teamand calluses of Nicotiana tabacum and compare them with the traditional methods used in the laboratory.",Cell manipulation; Carbon nanotubes; nanotechnology; Gene dilivery; ,E. coli; embryos in early development of Bos taurthe teamand calluses of Nicotiana tabacum
Tuebingen,2015,capturing a snapshot of an expression controlling biosensor.,"For this year’s project Team Tuebingen designed a system aimed at capturing a snapshot of an expression controlling biosensor. In order to permanently memorise the sensor state of the snapshot time point in cells The team use an altered version of the DNA recombinase Cre to switch on a luciferase reporter. The ability to quickly capture the current state of the sensor is achieved by fusing Cre with two copies of the protein Dronpa, that oligomerises after illumination and thereby cages and inhibits the recombinase. Because the oligomerisation of Dronpa is reversible through another wavelength, The team can control the activity of the recombinase and fine tune the read out of the luciferase reporter.",Biosensor; Detection; Recombinase; Oligomerisation; Luciferase,
UNC-Chapel_Hill,2015,Construction of a Tricolor Sensing System for Glucose,"This project introduces a novel glucose sensing system in which glucose-responsive promoters drive the expression of three reporter chromoproteins. The team designed fthe novel glucose-sensitive promoters and tested their ability to drive expression of reporter chromoproteins at variothe teamglucose concentrations. In conjunction with existing glucose sensitive promoters from the Parts Registry, The team used the novel promoters to design a biological device that expresses different combinations of the three different chromoproteins in response to glucose in Escherichia coli. As such, this device can detect a larger dynamic range of concentrations of selected molecules (e.g., glucose).",Metabolism; Glucose; Biosensor; Tricoolor-report; Large-range,E. coli
Vanderbilt,2015,"an algorithm can detect easy-mutated site on DNA, reducing the risk of mutation for any gene without altering its function.","The team are proposing a novel approach based on rationally designed genomic architectures that promises to offer synthetic biologists unprecedented control over the evolutionary stability of their creations. At the heart of the strategy is an advanced computational algorithm that integrates decades worth of scientific data identify and correct the highly-mutation prone 'hotspots' that lurk in every gene. the strategy has a strong foundation in a rich literature from the fields of cancer biology and others that have annotated and characterized mutation hotspots for almost every conceivable source of mutagen, from ultraviolet radiation to recombination to polymerase errors.",Algorith; Genome manipulation; Detection; Rich-data; Cancer biology ,
Vilnius-Lithuania,2015,creating a bacterium with an integrated “count-down timer” triggering a self-destruction mechanism,"The aim of the ColiClock project consists of creating a bacterium with an integrated “count-down timer” triggering a self-destruction mechanism. The idea would apply to cells that need to have a limited lifetime outside of a laboratory environment. The mechanism is achieved using the type I-F CRISPR-Cas system, controlled by LuxR and cI, that is navigated to important genes in the genomic DNA.",Self-destruction; Cell manipulation; Biosafety; Laboratory; CRISPR-Cas,E. coli
Warwick,2015,Precision control over spatial arrangement of cells,"The team aim to provide precision control over spatial arrangement of cells by designing a tool that enables drawing and building with them. Zinc finger proteins are intracellular molecules which recognise and bind unique dsDNA sequences. The team have engineered these proteins to be expressed on the surface of an E. coli cell, such that dsDNA can be used as mortar to cement cells together. Producing a library of zinc finger proteins, along with their cognate dsDNA sequences, allows for combining different types of cells. The team will demonstrate this principle by assembling fluorescent cells onto a 2D surface and producing microscopic images, with the ultimate goal being to build complex 3D structures comprised of different cell types. This level of control over cellular localisation could potentially revolutionise multiple fields including research into cell-cell interactions in microbial communities, multicellularity, and the construction of 3D cell structures in tissue engineering.",Cell manipulation; Zinc finger protein; Protein library; 3D construction,E. coli
Waterloo,2015,re-engineering CRISPR-Cas9 with functional applications in eukaryotic systems,"CRISPR-Cas9 is an exciting tool for synthetic biologists because it can target and edit genomes with unprecedented specificity. the team is attempting to re-engineer CRISPR to make it more flexible and easier to use. We’re making it easy to test different sgRNA designs: restriction sites added to the sgRNA backbone allow 20 nucleotide target sequences to be swapped without excessive cloning. Additionally, we’re applying recent research on viable mutations within Cas9’s PAM-interacting domain to design (d)Cas9 variants that bind to novel PAM sites, moving towards the goal of a suite of variants that can bind any desired sequence. The team believe the re-engineered CRISPR-Cas9 will give biologists increased ability to optimize targeting in many applications. The application The team chose to explore is a proof-of-concept antiviral system defending the model plant Arabidopsis against Cauliflower Mosaic Virus, which would benefit from testing a large number of possible sgRNAs in the viral genome.",Genome manipulation; CRISPR-Cas9; sgRNA; Optimization; Gene editing,No Chassis
Yale,2015,"The team established a framework for multiplex automated genome engineering (MAGE) and CRISPR-Cas9 systems—into non-model, environmentally significant microbes using standard biological parts. ","The team established a framework for implementing genetic manipulation techniques—specifically, multiplex automated genome engineering (MAGE) and CRISPR-Cas9 systems—into non-model, environmentally significant microbes using standard biological parts. The framework involves two components: (1) propagation and selection of cultures and (2) manipulation of cell genomes by MAGE and/or CRISPR. The team identified design considerations for both components of the framework, and experimentally validated propagation and selection considerations using cyanobacterial strain Synechococcthe teamsp. PCC 7002 (a fast-growing cyanobacterium capable of lipid biofuel production) and Sinorhizobium tropici CIAT (a nitrogen-fixing rhizobium which forms root nodules in legume plants). The team then developed a workflow for the design, construction, and testing of MAGE and CRISPR technologies in non-model prokaryotes. The insights The team gained from validating the propagation component of the workflow will serve to improve the versatility and robustness of the framework and will inform the development of tools for genetic manipulation in other non-model organisms.",Genome manipulation; CRISPR-Cas9; Framework; Workflow; Non-model organism,Kit
Aix-Marseille,2015,"Creating an E.coli strain produces enzymes, which can degrade rubber polymers to clean chew on street.","The project is to create an E.coli strain that produces enzymes , which can degrade rubber polymers. To achieve the goal, the team will use a combination of three enzymes: a laccase, a lipoxygenase or latex clearing protein (LCP) and a cytochrome C. The laccase known as an oxidoreductase will oxidize the cytochrome C which will be previously light excited. Coupled with this later, the LCP will degrade synthetics polymers found in the chewing gum. ",chewing gum; degradation; laccases; latex clearing protein (LCP); cytochrome C,E. coli
Berlin,2015,Building a modular filter system for wastewater treatment plants which is able to degrade plastic,"constructing the Enzymatic Flagellulose to degrade microplastics into biodegradable compounds. It consists of a surface made up of cellulose, which acts as a biocompatible carrier, to which bacterial flagella will be immobilized via a cellulose-binding domain. The single flagellum subunits, also known as flagellin, will be interlinked with plastic degrading enzymes. Using flagella as a scaffold for enzymes has two major advantages. Firstly, it enables the creation of a three-dimensional reactive nanostructure that has an increased specific surface with highly catalytic activity. Secondly, flagella may consist of various different active sites, which will enable the combination of multiple enzymatic steps in close proximity.",plastic; wastewater treatment; degradation; filter,cell-free system (flagella from Acetobacter xylinum)
